COD_CHAV_CORO_CLIE,NUM_AGEN,NUM_CONT,NOM_INVD,DAT_COMPR,DAT_VENC,VLR_INVD,QTD_UNID,VLR_UNID,VLR_ATUA,PCT_REND,CAT_REND,NOM_CORR,VLR_TAXA,NOM_ESTA_INVD,DAT_RFRC
bb236302bb186219bd13a4a7b1cc5be181b744c0,1234,67890123,Fundos de Investimento QWERTY,20220228,20300228,9000,450,20,12000,400,Renda Fixa,Corretora B,2,Ativo,20231119
dceb09bc083e9bbbcaecd822bae04c07b460b00d,5432,34567890,Ações ZYXW,20220320,20240320,8500,250,34,10500,300,Renda Variável,Corretora C,1.5,Ativo,20231119
7a5f6833ce3e27b243ff33cf62b6d76d5a8af80b,7890,23456789,LCI Banco Y,20220812,20240812,7000,250,28,8500,280,Renda Fixa,Corretora A,1.2,Ativo,20231119
778ab09b8734b0601bcfa3fac176b5d9da689e3d,2468,45678901,Fundo Imobiliário XYZ,20220920,20320920,6500,250,26,7800,250,Renda Fixa,Corretora B,1,Ativo,20231119
47a49716416c8780a0a0042a663977a5521af800,9101,67890123,LCI Banco Y,20221201,20251201,6000,200,30,7200,200,Renda Fixa,Corretora A,1,Ativo,20231119
8595561ddba1326223f9c1a2fce26f43859cfb9c,5432,34567890,Ações XYZ,20220115,20230115,10000,500,20,12000,500,Renda Variável,Corretora B,2,Ativo,20231119
4f90673d6d26fdad8a7047d64c5c17ae36c49e19,1234,23456789,Fundo Imobiliário WXY,20221125,20311125,7500,300,25,9000,300,Renda Fixa,Corretora C,1,Ativo,20231119
793088bf7feee345578b79b00b9aa85dade01672,7890,78901234,Ações ZYX,20220410,20260410,5000,200,25,6000,200,Renda Variável,Corretora A,1,Ativo,20231119
80f61ca6ec056691ec0116ab78a048a6df7f2fb9,1357,56789012,CDB Banco X,20220810,20230810,9000,300,30,10800,300,Renda Fixa,Corretora B,1.5,Ativo,20231119
31081315102b6d56474c65540ae4480ce32c3375,2109,34567890,Fundo de Investimento WXYZ,20221130,20331130,8000,400,20,9600,320,Renda Fixa,Corretora A,1.2,Ativo,20231119
dceb09bc083e9bbbcaecd822bae04c07b460b00d,5432,34567890,Ações WXYZ,20220320,20240320,8500,250,34,10500,300,Renda Variável,Corretora C,1.5,Ativo,20231119
